# EntroDiff MVP Training Log
# Time: 20260429_203501
# Config: D:\A-Nips-Diffussion\PROJECT\black\configs\experiment\mvp_burgers.yaml
# Device: cuda  Batch: 64  Workers: 4
# Params: epochs=50 lr=0.0002 nu=1.0 tau_max=1.0 lambda_dsm=1.0 lambda_bv=0.1 lambda_time=0.0
# Data: ..\output\data\burgers_1d_N5000_Nx128.npy
# Output: ..\output\experiments\entrodiff_mvp_run1
#
# epoch  loss_total  loss_dsm  loss_bv  loss_time
   1  0.14552951  0.13327918  0.12250332  0.00000000
   2  0.08889289  0.08004870  0.08844184  0.00000000
   3  0.06691200  0.05826945  0.08642550  0.00000000
   4  0.05561432  0.04910620  0.06508118  0.00000000
   5  0.05324923  0.04766164  0.05587584  0.00000000
   6  0.05059092  0.04539024  0.05200677  0.00000000
   7  0.05027716  0.04519092  0.05086237  0.00000000
   8  0.04915637  0.04422776  0.04928614  0.00000000
   9  0.04742375  0.04263351  0.04790236  0.00000000
  10  0.04746628  0.04272138  0.04744901  0.00000000
  11  0.04671351  0.04197799  0.04735516  0.00000000
  12  0.04620561  0.04156075  0.04644864  0.00000000
  13  0.04621463  0.04160885  0.04605782  0.00000000
  14  0.04508849  0.04052564  0.04562855  0.00000000
  15  0.04698976  0.04241880  0.04570952  0.00000000
  16  0.04528874  0.04078151  0.04507226  0.00000000
  17  0.04506084  0.04055772  0.04503126  0.00000000
  18  0.04644023  0.04194084  0.04499395  0.00000000
  19  0.04484917  0.04036406  0.04485117  0.00000000
  20  0.04429076  0.03987910  0.04411668  0.00000000
  21  0.04502216  0.04059598  0.04426182  0.00000000
  22  0.04410383  0.03968515  0.04418684  0.00000000
  23  0.04451971  0.04012699  0.04392719  0.00000000
  24  0.04515548  0.04075678  0.04398704  0.00000000
  25  0.04372038  0.03932409  0.04396286  0.00000000
  26  0.04333684  0.03896845  0.04368389  0.00000000
  27  0.04453068  0.04015048  0.04380207  0.00000000
  28  0.04446466  0.04007797  0.04386695  0.00000000
  29  0.04389936  0.03951785  0.04381510  0.00000000
  30  0.04434321  0.03997315  0.04370061  0.00000000
  31  0.04276628  0.03839632  0.04369965  0.00000000
  32  0.04351310  0.03918597  0.04327130  0.00000000
  33  0.04309632  0.03873710  0.04359221  0.00000000
  34  0.04392636  0.03954219  0.04384172  0.00000000
  35  0.04375867  0.03943603  0.04322635  0.00000000
  36  0.04328362  0.03892619  0.04357426  0.00000000
  37  0.04269424  0.03835633  0.04337909  0.00000000
  38  0.04318134  0.03881870  0.04362638  0.00000000
  39  0.04283840  0.03850672  0.04331680  0.00000000
  40  0.04293943  0.03860071  0.04338721  0.00000000
  41  0.04312296  0.03875302  0.04369944  0.00000000
  42  0.04281503  0.03849489  0.04320140  0.00000000
  43  0.04379613  0.03949027  0.04305858  0.00000000
  44  0.04387239  0.03952819  0.04344195  0.00000000
  45  0.04292525  0.03861350  0.04311752  0.00000000
  46  0.04236470  0.03805408  0.04310619  0.00000000
  47  0.04251985  0.03820067  0.04319181  0.00000000
  48  0.04301757  0.03872601  0.04291561  0.00000000
