# EntroDiff Baseline (Pure EDM) Training Log
# Time: 20260429_142947
# Config: D:\A-Nips-Diffussion\PROJECT\black\configs\experiment\mvp_burgers.yaml
# Device: cuda  Batch: 64  Workers: 4
# Params: epochs=50 lr=0.0002 lambda_dsm=1.0
# Schedule: BaselineSchedule (log-normal sigma, P_mean=-1.2, P_std=1.2)
# Data: ..\output\data\burgers_1d_N5000_Nx128.npy
# Output: ..\output\experiments\mvp_baseline
#
# epoch  loss_dsm
   1  0.10419125
   2  0.06093481
   3  0.04568749
   4  0.04185297
   5  0.03834186
   6  0.03877206
   7  0.03837753
   8  0.03829484
   9  0.03613509
  10  0.03249493
  11  0.03473508
  12  0.03449177
  13  0.03162535
  14  0.03324387
  15  0.02953274
  16  0.03571838
  17  0.03384138
  18  0.03601892
  19  0.03108459
  20  0.03178080
  21  0.03227867
  22  0.03406973
  23  0.03541054
  24  0.03464765
  25  0.03021229
  26  0.03299815
  27  0.03092025
  28  0.03182815
  29  0.03384656
  30  0.03302926
  31  0.02958583
  32  0.02896086
  33  0.03220451
  34  0.03187139
  35  0.03337435
  36  0.03207397
  37  0.03051776
  38  0.03199372
  39  0.03019285
  40  0.03289665
  41  0.03184687
  42  0.03241455
  43  0.03048908
  44  0.02995079
  45  0.03286750
  46  0.02755669
